Survey Date,Temp,ID
3/13/2023,43,1
3/14/2023,32.3,2
3/15/2023,37.1,3
3/16/2023,35.4,4
3/20/2023,42.9,5
3/21/2023,47.3,6
3/22/2023,47.3,7
3/23/2023,37.8,8
3/27/2023,49.8,9
3/28/2023,43.5,10
3/29/2023,47.7,11
3/30/2023,47.4,12
4/4/2023,43.9,13
4/5/2023,45.2,14
4/6/2023,53.5,15
4/10/2023,44.1,16
4/11/2023,44.8,17
4/12/2023,43.4,18
4/17/2023,43.1,19
4/18/2023,48.7,20
4/19/2023,42.4,21
4/20/2023,50,22
4/24/2023,53.8,23
4/25/2023,56.2,24
4/26/2023,64.9,25
4/27/2023,62,26
5/2/2023,51.4,27
5/2/2023,56.7,28
5/3/2023,58.8,29
5/4/2023,45.2,30
5/8/2023,45.9,31
5/9/2023,50.9,32
5/10/2023,65.8,33
5/11/2023,66,34
5/12/2023,67,35
5/13/2023,72,36
5/14/2023,74,37
5/15/2023,75,38
5/16/2023,80,39
5/17/2023,76,40
5/18/2023,71,41
5/19/2023,69,42
5/20/2023,71,43
