site,treatment,enes,oss
9757,BU,1,1
10153,BS,1,0
10185,HB,1,3
10302,UU,3,6
10403,BS,0,1
10439,UU,1,5
10444,HU,0,1
10488,HB,0,1
10506,BS,0,2
10553,HB,0,5
10597,HB,0,0
10963,UU,0,2
12033,BU,12,4
12098,BU,0,1
12213,UU,6,7
12349,UU,2,8
12351,BU,2,0
12362,BU,1,0
12392,HB,2,0
12421,BU,2,8
12441,BU,4,4
12560,BU,1,0
12804,BU,0,5
13925,UU,1,0
15562,BU,4,1
20616,UU,2,0
29121,UU,1,2
29122,UU,4,10
29123,UU,1,0
29429,UU,1,1
29431,UU,0,1
29889,UU,1,0
33628,HB,0,4
33651,HB,1,5
33754,HU,0,1
33810,HU,1,2
34007,HB,3,8
408143,HU,0,1
408161,HU,3,0
408162,HU,3,5
408180,HB,2,2
4081781,BS,0,1
4081782,HB,0,2
