stand,1,2,3,4,5,6,7
9757,0,0,0,0,0,0,1
10024,0,0,0,0,0,0,0
10078,0,0,0,0,0,0,0
10153,0,0,0,0,0,0,0
10185,0,0,0,0,1,0,0
10258,0,0,0,0,0,0,0
10302,0,0,0,1,0,1,1
10399,0,0,0,0,0,0,0
10403,0,0,0,0,0,0,1
10422,0,0,0,0,0,0,0
10439,0,0,1,0,1,0,1
10444,0,0,0,0,1,0,0
10467,0,0,0,0,0,0,0
10488,0,0,0,0,0,0,1
10498,0,0,0,0,0,0,0
10506,0,1,1,0,0,0,0
10550,0,0,0,0,0,0,0
10553,1,0,0,1,0,0,1
10597,0,0,0,0,0,0,0
10956,0,0,0,0,0,0,0
10963,0,0,0,1,0,0,0
10965,0,0,0,0,0,0,0
10968,0,0,0,0,0,0,0
11079,0,0,0,0,0,0,0
12033,0,1,0,0,1,0,1
12098,0,0,0,0,0,1,0
12213,1,1,0,0,1,0,1
12349,1,1,0,1,0,1,1
12351,0,0,0,0,0,1,0
12362,0,0,0,0,0,0,0
12364,0,0,0,0,0,0,0
12392,0,0,0,0,0,0,0
12421,1,1,1,0,1,0,0
12441,0,0,1,1,1,0,0
12239,0,0,0,0,0,0,0
12560,0,0,0,0,0,0,0
12804,1,0,0,0,1,1,1
12805,0,0,0,0,0,0,0
13924,0,0,0,0,0,0,0
15562,0,0,0,0,1,0,0
16804,0,0,0,0,0,0,0
20039,0,0,0,0,0,0,0
20053,0,0,0,0,0,0,0
20550,0,0,0,0,0,0,0
20616,0,0,0,0,0,0,0
21026,0,0,0,0,0,0,0
21159,0,0,0,0,0,0,0
25954,0,0,0,0,0,0,0
29121,0,0,0,0,0,1,1
29122,1,1,0,0,1,1,1
29123,0,0,0,0,0,0,0
29429,0,1,0,0,0,0,0
29431,0,0,1,0,0,0,0
29889,0,0,0,0,0,0,0
33628,0,1,0,0,0,0,0
33651,1,0,1,0,0,0,0
33689,0,0,0,0,0,0,0
33754,0,0,0,0,0,1,0
33810,0,0,0,1,0,0,1
34007,0,1,0,1,0,1,0
34017,0,0,0,0,0,0,0
408143,0,0,0,0,1,0,0
408161,0,0,0,0,0,0,0
408162,0,0,1,1,1,0,0
408180,1,0,0,0,0,0,1
4081781,0,0,0,0,1,0,0
4081782,0,0,0,0,1,1,0
